Instance ID,Truck ID,Depot,Shift,Start Time,End Time,Duration (min),Load (kg),Stops Count,Route Sequence
0,1,7,AM,09:34,11:32,117.3,31830.0,1,7245
0,1,7,PM,20:33,22:36,123.4,28647.0,1,3853
0,2,2,PM,00:51,03:00,129.2,35442.0,1,452
0,2,8,AM,08:44,09:22,37.0,35442.0,1,808
0,2,8,AM,09:23,11:43,140.0,35442.0,1,915
0,2,2,PM,13:16,00:50,693.1,35442.0,1,926
0,3,0,PM,17:31,19:14,102.7,29708.0,2,5586 -> 5584
0,4,2,AM,07:59,10:19,140.0,35442.0,2,353 -> 1935
0,5,2,AM,08:34,11:39,184.3,24702.0,2,358_onfly_part4 -> 277
0,6,7,PM,17:37,18:29,53.0,22281.0,1,3849
0,6,0,INTER-FACTORY,18:29,18:29,0.0,36000.0,1,TRANSFER_FROM_0_TO_3
0,8,2,AM,07:38,11:44,246.0,32112.6,3,295 -> 304 -> 294
0,9,7,AM,09:38,12:48,189.8,38726.5,1,7118
0,9,0,INTER-FACTORY,12:48,12:48,0.0,39700.0,1,TRANSFER_FROM_0_TO_3
0,10,0,PM,19:21,21:04,103.3,29389.7,2,629 -> 715
0,10,0,INTER-FACTORY,21:04,21:04,0.0,39700.0,1,TRANSFER_FROM_0_TO_3
0,11,6,PM,21:58,23:32,93.9,25868.659,3,7770 -> 3029 -> 1530
0,102,8,PM,02:06,02:47,40.7,32220.000000000004,1,812
0,102,2,AM,02:53,06:23,210.1,32220.000000000004,1,280
0,102,8,PM,09:33,10:28,55.5,34368.0,1,1661
0,102,8,AM,10:04,12:12,128.3,34368.0,1,909
0,102,8,AM,10:13,11:15,61.7,25776.0,1,1659
0,102,8,AM,11:16,12:56,100.2,32220.000000000004,1,760
0,102,8,AM,12:57,13:30,33.1,23520.600000000002,1,787
0,102,8,PM,16:20,17:35,75.7,33294.0,1,1663
0,102,2,PM,16:44,20:07,203.5,34368.0,2,1576 -> 358_onfly_part5
0,102,2,AM,16:49,23:01,372.3,32220.000000000004,1,239
0,102,2,AM,23:02,02:02,179.7,28998.0,1,321
0,102,8,PM,23:48,02:05,137.8,33938.4,1,914
0,103,2,AM,08:01,11:13,192.2,21694.800000000003,2,296 -> 297
0,103,8,PM,16:37,18:29,112.9,37590.0,1,912
0,103,8,INTER-FACTORY,18:29,21:48,199.0,26474.800000000047,1,TRANSFER_FROM_8_TO_1
0,103,2,INTER-FACTORY,21:48,01:49,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,104,8,PM,17:13,20:08,174.5,38664.0,2,918 -> 920_onfly_part2
0,104,2,INTER-FACTORY,20:08,00:08,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,105,8,PM,17:13,20:32,198.6,38664.0,3,856 -> 920_onfly_part3 -> 920_onfly_part1
0,105,2,INTER-FACTORY,20:32,00:32,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,106,8,PM,17:13,20:00,166.9,36516.0,2,908 -> 920_onfly_part4
0,106,2,INTER-FACTORY,20:00,00:01,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,107,8,PM,17:10,19:24,134.1,32220.000000000004,1,916
0,107,2,INTER-FACTORY,19:24,23:25,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,120,6,AM,07:09,10:06,176.2,29008.9,2,1712 -> 1766
0,120,6,AM,10:07,12:54,167.1,32538.5,1,1731
